ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,Child_LinkText,Child_PartialLinkText,Child_TagName,Child_XPath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
SearchItemFieldTxtBx,,SearchString,,,,,,,,,,,,,,,,4.11E+11,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchBtn,,submit-search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AddToBagBtn,,ADD_CART_ITEM_ARRAY<>sku_id,,select[class='js-saks-sku-dropdown'],,,,,select,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckOutBtn,,,,input[class='reskin-addtobag-button sfa-button large transactional'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpBagLink,,,shopping-bag,a[class='shopping-bag'],,,,Saks Bag (,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bOverlay,SaksBagOverlay,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bOverlayViewBagBtn,,,saksBagViewMyBag,a[class='saksBagViewMyBag'],,,,,,,2,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPromoTxt,promoCodeEntry,,,input[id='promoCodeEntry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagApplyPromoBtn,promoApply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagCheckoutBtn,jsStartCheckout,,,,,,,,a,,,Checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagLoginEmailTxt,loginEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagLoginPassTxt,loginPass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagSignInBtn,jsQuickCheckout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagEmailSigninTxt,loginGuestEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagEmailSigninBtn,jsGuestCheckout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsPlaceOrderBtn,jsReviewSubmit,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccUserNameTxt,idLoginCSR,,,,,,,,,,,,,,,,1,,,,,,,,,,,,input[name='LOGIN<>userid'],,,,,,,,,,,,,,,,,,,,
ccPasswordTxt,idLoginCSR,,,,,,,,,,,,,,,,1,,,,,,,,,,,,input[name='LOGIN<>password'],,,,,,,,,,,,,,,,,,,,
ccLoginBtn,,login,bmsFormButton,input[class='bmsFormButton'],,,,,,"//*[@id=\""idLoginCSR\""]/form/table/tbody/tr[5]/td[2]/input[2]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccOrderSearchTxt,,ORDER_SEARCH<>orderNum,,input[class='ORDER_SEARCH<>orderNum'],,,,,,"//*[@id=\""idContentContainer\""]/table/tbody/tr[1]/td[2]/form/table/tbody/tr/td[1]/table/tbody/tr/td[2]/input[3]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccSubmitSearchBtn,,find_order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confOrderNumMsg,checkout-wrap,,,,,,,,,,,,,,,,1,,,60,,,,,,,,,ul[class='receipt-order-detail-list'],,,,,,,,,,,,,,,60,,,,,
giftOverlayName,giftName-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giftOverlayMsg1,giftingMsg1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giftOverlaySubmitBtn,jsSubmitGifting,,,button[class='sfa-button large transactional jsExcludeFromSubmit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagEditBtnPencil,,,jsEditItem,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagInstore,,,js-find-in-store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FindInStoreOverlay,findInStore,,,,,,FIND IN STORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giftOverlayLogoWrapRdBtn,,,,,,,,,,,,,for,giftingType-B,,,1,,,,,,,,,,radiobox-helper,,,,,,,,,,,,,,,,,,,,,,
pdpDescription,,,description,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpVgcRecip,recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpVgcSender,sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpVgcNotifyEmail,notifyEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagUpdatetxtbox1,,,jsItemQuantity ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagUpdatetxtbox2,,,jsItemQuantity ,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giftCreateNewradio,createNewGift,,applied-or-new,input[id='createNewGift'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confGiftCardConfirm,, ,gift-card-summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountbtn,,,account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShiptoMultipleBtn,,,jsShipToMultiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagEmailInvalidMessage,,,errorMsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditShippingBtn,,,,a[class='action-link jsChangeShipAddress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEnterNewShipAddressRdBtn,,,,label[for='jsNewShippingAddress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingTitleDrpDwn,shipTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingfirstNameTxt,shipFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippinglastNameTxt,shipLast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingAddressTxt,shipAddress1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingCityTxt,shipCity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingStateDrpDwn,shipState,SHIP_TO_ADDRESS<>state_cd,,select[id='shipState'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingZipCodeTxt,shipZip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
