ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.pdp.Scen01,Validate PDP Page,
2,1,com.hbcd.testscript.commonplatform.pdp.Scen02,Validate Tell a friend,
3,1,com.hbcd.testscript.commonplatform.pdp.Scen03,Validate PDP MiniBag,
4,1,com.hbcd.testscript.commonplatform.pdp.Scen04,Qty Increment:find from slava,
5,1,com.hbcd.testscript.commonplatform.pdp.Scen06,Validate CSR Message: get CSR item from abdullah,
6,1,com.hbcd.testscript.commonplatform.pdp.Scen07,Validate Final Sale Message,
7,1,com.hbcd.testscript.commonplatform.pdp.Scen09,Validating high demand message and overlay error: get high demand message item from abdullah,
8,1,com.hbcd.testscript.commonplatform.pdp.Scen10,Validating Share Links,
9,1,com.hbcd.testscript.commonplatform.pdp.Scen11,Adding dropship item: get dropship item from abdullah,
10,1,com.hbcd.testscript.commonplatform.pdp.Scen13,Validating Single Price,
11,1,com.hbcd.testscript.commonplatform.pdp.Scen14,Validating Multiple Prices: get mutiple price item from abdullah,
12,1,com.hbcd.testscript.commonplatform.pdp.Scen17,Smoke test PDP: UPC Sold Out in PDP Page : get soldout item from adullah,
13,1,com.hbcd.testscript.commonplatform.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page: ,
14,1,com.hbcd.testscript.commonplatform.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15 : get dropdown item from abdullah,
15,1,com.hbcd.testscript.commonplatform.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP : get size color item,
16,1,com.hbcd.testscript.commonplatform.pdp.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP : get size color fit predictor item,
17,1,com.hbcd.testscript.commonplatform.pdp.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP: get color size fit predictor price range,
18,1,com.hbcd.testscript.commonplatform.pdp.Scen27,SmokeTest: Validate Display on Foreign Currency on PDP,
19,1,com.hbcd.testscript.commonplatform.pdp.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page: get item with price and discount ",
20,1,com.hbcd.testscript.commonplatform.pdp.Scen31,SmokeTest: Validate number of items Added into the Bag Overlay ,
