ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.mobile.s5a.pdp.Scen01,Validate PDP Page,
2,1,com.hbcd.testscript.mobile.s5a.pdp.Scen02,Validate Tell a friend,
3,1,com.hbcd.testscript.mobile.s5a.pdp.Scen03,Validate PDP MiniBag,
4,1,com.hbcd.testscript.mobile.s5a.pdp.Scen04,Qty Increment,
6,1,com.hbcd.testscript.mobile.s5a.pdp.Scen06,Validate CSR Message,
7,1,com.hbcd.testscript.mobile.s5a.pdp.Scen07,Validate Final Sale Message,
8,1,com.hbcd.testscript.mobile.s5a.pdp.Scen09,Validating high demand message and overlay error,
9,1,com.hbcd.testscript.mobile.s5a.pdp.Scen10,Validating Share Links,
10,1,com.hbcd.testscript.mobile.s5a.pdp.Scen11,Adding dropship item,
11,1,com.hbcd.testscript.mobile.s5a.pdp.Scen12,Shipping accordion,
12,1,com.hbcd.testscript.mobile.s5a.pdp.Scen13,Validating Single Price,
13,1,com.hbcd.testscript.mobile.s5a.pdp.Scen14,Validating Multiple Prices,
14,1,com.hbcd.testscript.mobile.s5a.pdp.Scen16,Validating RichRelevance,
15,1,com.hbcd.testscript.mobile.s5a.pdp.Scen17,Smoke test PDP: UPC Sold Out in PDP Page,
16,1,com.hbcd.testscript.mobile.s5a.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page,
17,1,com.hbcd.testscript.mobile.s5a.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
18,1,com.hbcd.testscript.mobile.s5a.pdp.Scen20,Smoke Test PDP: Email Marketing Options WaitlistAble ,
19,1,com.hbcd.testscript.mobile.s5a.pdp.Scen21,Smoke Test PDP: Email Marketing option thru Waitlist Enter Mail Validation,
20,1,com.hbcd.testscript.mobile.s5a.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP,
21,1,com.hbcd.testscript.mobile.s5a.pdp.Scen23,SmokeTest: Find in Store Link in PDP and Validations,
22,1,com.hbcd.testscript.mobile.s5a.pdp.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP,
23,1,com.hbcd.testscript.mobile.s5a.pdp.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP,
24,1,com.hbcd.testscript.mobile.s5a.pdp.Scen26,SmokeTest: Validate Social Sharing Links Available on PDP Page,
25,1,com.hbcd.testscript.mobile.s5a.pdp.Scen27,SmokeTest: Validate Display on Foreign Currency on PDP,
26,1,com.hbcd.testscript.mobile.s5a.pdp.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page",
27,1,com.hbcd.testscript.mobile.s5a.pdp.Scen29,SmokeTest: validate Regular and Strike Off price for Recently Viewed items,
28,1,com.hbcd.testscript.mobile.s5a.pdp.Scen30,SmokeTest: Validate MORE Promotions on Footer of PDP,
29,1,com.hbcd.testscript.mobile.s5a.pdp.Scen31,SmokeTest: Validate number of items Added into the Bag Overlay ,
30,1,com.hbcd.testscript.mobile.s5a.pdp.Scen32,Chanel: Chanel banner. no shipping tab. no sharing icons. richrel. reviews. Q&A ,
31,1,com.hbcd.testscript.mobile.s5a.pdp.Scen33,Clickable Brand: brand item with DLP redirects to DLP,
32,1,com.hbcd.testscript.mobile.s5a.pdp.Scen34,Clickable Brand: brand item without DLP redirects to shop all,
33,1,com.hbcd.testscript.mobile.s5a.pdp.Scen35,TurnTo: teaser for Q&A,
34,1,com.hbcd.testscript.mobile.s5a.pdp.Scen36,TurnTo: teaser for Reviews,
35,1,com.hbcd.testscript.mobile.s5a.pdp.Scen37,PreOrder: displaying preorder label and message,
36,1,com.hbcd.testscript.mobile.s5a.pdp.Scen38,SoldOut & NON-Waitlistable: Sold out message is displayed and add to bag isn't,
37,1,com.hbcd.testscript.mobile.s5a.pdp.Scen39,International Item: Shipping restriction,
38,1,com.hbcd.testscript.mobile.s5a.pdp.Scen40,International Item: Currency changed,
39,1,com.hbcd.testscript.mobile.s5a.pdp.Scen41,Gift Card: Denominations displayed,
40,1,com.hbcd.testscript.mobile.s5a.pdp.Scen42,FIS Same Day: showing content properly,
