ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.s5a.productarray.Scen01,Back to Result Link,
2,1,com.hbcd.testscript.s5a.productarray.Scen02,Search by Keyword,
3,0,com.hbcd.testscript.s5a.productarray.Scen03,Brand Dropdown on Brand Array,
4,0,com.hbcd.testscript.s5a.productarray.Scen04,Cartridge Links (Dynamic and Static),
5,1,com.hbcd.testscript.s5a.productarray.Scen05,Cartridges Product Array,
6,1,com.hbcd.testscript.s5a.productarray.Scen06,Cartridges Search Page,
7,1,com.hbcd.testscript.s5a.productarray.Scen07,Clickable Banner Cartridge_2,
8,1,com.hbcd.testscript.s5a.productarray.Scen08,Contemporary Landing Page,
9,1,com.hbcd.testscript.s5a.productarray.Scen09,Contemporary Landing Page_2,
10,1,com.hbcd.testscript.s5a.productarray.Scen10,Lifestyle LHN,
11,1,com.hbcd.testscript.s5a.productarray.Scen11,Lifestyle in Product Array,
12,1,com.hbcd.testscript.s5a.productarray.Scen12,Sort Premier Designer,
13,0,com.hbcd.testscript.s5a.productarray.Scen13,Sort to Modern,
14,0,com.hbcd.testscript.s5a.productarray.Scen14,Map Editorial Event Folder Ids,
15,0,com.hbcd.testscript.s5a.productarray.Scen15,Product Array_Item Info,
16,1,com.hbcd.testscript.s5a.productarray.Scen16,Product Array_Item Info1,
17,1,com.hbcd.testscript.s5a.productarray.Scen17,Product Array_More Colors,
18,1,com.hbcd.testscript.s5a.productarray.Scen18,Product Array_Pre Order Item,
19,0,com.hbcd.testscript.s5a.productarray.Scen19,ProductArray_Exclusively at Saks,
20,1,com.hbcd.testscript.s5a.productarray.Scen20,Product Array_Customer Reviews,
21,0,com.hbcd.testscript.s5a.productarray.Scen21,Refine By + Apply Clear All ,
22,0,com.hbcd.testscript.s5a.productarray.Scen22,Refine By Color,
23,0,com.hbcd.testscript.s5a.productarray.Scen23,Refine By Size,
24,1,com.hbcd.testscript.s5a.productarray.Scen24,Refine by Designer,
25,1,com.hbcd.testscript.s5a.productarray.Scen25,Refine by Price,
26,0,com.hbcd.testscript.s5a.productarray.Scen26,Refine by Size_2,
27,0,com.hbcd.testscript.s5a.productarray.Scen27,Search from Root Level,
28,1,com.hbcd.testscript.s5a.productarray.Scen28,Search by Brand,
29,1,com.hbcd.testscript.s5a.productarray.Scen29,Search by Keyword_2,
30,1,com.hbcd.testscript.s5a.productarray.Scen30,Category Search,
31,1,com.hbcd.testscript.s5a.productarray.Scen31,Gift Cards,
32,0,com.hbcd.testscript.s5a.productarray.Scen32,Shop by Category Brand Array,
33,0,com.hbcd.testscript.s5a.productarray.Scen33,Drill Down to Shoes,
34,0,com.hbcd.testscript.s5a.productarray.Scen34,Refine by Size in S&H,
35,0,com.hbcd.testscript.s5a.productarray.Scen35,Reset refinements,
36,0,com.hbcd.testscript.s5a.productarray.Scen36,Shop All Link,
37,0,com.hbcd.testscript.s5a.productarray.Scen37,Refine by Price,
38,0,com.hbcd.testscript.s5a.productarray.Scen38,Sort Low to High,
39,1,com.hbcd.testscript.s5a.productarray.Scen39,Click on Handbags,
40,0,com.hbcd.testscript.s5a.productarray.Scen40,Sale ,
41,0,com.hbcd.testscript.s5a.productarray.Scen41,Sort By + Reset,
42,0,com.hbcd.testscript.s5a.productarray.Scen42,By Designers,
43,0,com.hbcd.testscript.s5a.productarray.Scen43,Sale Show First,
44,1,com.hbcd.testscript.s5a.productarray.Scen44,Scenario_ValidateDLP_Akris,
45,1,com.hbcd.testscript.s5a.productarray.Scen45,Scenario_ValidateDLP_Bobbi Brown,
46,1,com.hbcd.testscript.s5a.productarray.Scen46,Scenario_ValidateDLP_Burberry,
47,1,com.hbcd.testscript.s5a.productarray.Scen47,Scenario_Validate_Gucci,
48,1,com.hbcd.testscript.s5a.productarray.Scen48,Scenario_Validate_Prada,
49,1,com.hbcd.testscript.s5a.productarray.Scen49,Scenario1_ValidateRedirect_Landing Page_BridalBoutique,
50,1,com.hbcd.testscript.s5a.productarray.Scen50,Scenario1_ValidateRedirect_Landing Page_SaksCard,
51,1,com.hbcd.testscript.s5a.productarray.Scen51,Scenario2_ValidateRedirect_Landing Page_SaksCard,
