ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.pdp.Scen01,Validate PDP Page,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
2,1,com.hbcd.testscript.commonplatform.pdp.Scen02,Validate Tell a friend,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
3,1,com.hbcd.testscript.commonplatform.pdp.Scen03,Validate PDP MiniBag,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
4,1,com.hbcd.testscript.commonplatform.pdp.Scen04,Qty Increment:fix increment,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
5,1,com.hbcd.testscript.commonplatform.pdp.Scen06,Validate CSR Message:get item from seema,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
6,1,com.hbcd.testscript.commonplatform.pdp.Scen07,Validate Final Sale Message,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
7,1,com.hbcd.testscript.commonplatform.pdp.Scen09,Validating high demand message and overlay error,"{""skuListInfo"":{""skuList"":[""0442127630683""]}}"
8,1,com.hbcd.testscript.commonplatform.pdp.Scen10,Validating Share Links,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
9,1,com.hbcd.testscript.commonplatform.pdp.Scen11,Adding dropship item,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
10,1,com.hbcd.testscript.commonplatform.pdp.Scen12,Shipping accordion:fix asked willis,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
13,1,com.hbcd.testscript.commonplatform.pdp.Scen13,Validating Single Price,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
12,1,com.hbcd.testscript.commonplatform.pdp.Scen14,Validating Multiple Prices,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
11,1,com.hbcd.testscript.commonplatform.pdp.Scen16,Validating RichRelevance:fix,"{""skuListInfo"":{""skuList"":[""0478504896533""]}}"
