ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.s5a.PDP.Scen01,Validate PDP Page,
2,1,com.hbcd.testscript.s5a.PDP.Scen02,Validate Tell a friend,
3,1,com.hbcd.testscript.s5a.PDP.Scen03,Validate PDP MiniBag,
4,0,com.hbcd.testscript.s5a.PDP.Scen04,Qty Increment,
6,1,com.hbcd.testscript.s5a.PDP.Scen06,Validate CSR Message,
7,1,com.hbcd.testscript.s5a.PDP.Scen07,Validate Final Sale Message,
8,1,com.hbcd.testscript.s5a.PDP.Scen09,Validating high demand message and overlay error,
9,1,com.hbcd.testscript.s5a.PDP.Scen10,Validating Share Links,
10,1,com.hbcd.testscript.s5a.PDP.Scen11,Adding dropship item,
11,1,com.hbcd.testscript.s5a.PDP.Scen12,Shipping accordion,
12,1,com.hbcd.testscript.s5a.PDP.Scen13,Validating Single Price,
13,1,com.hbcd.testscript.s5a.PDP.Scen14,Validating Multiple Prices,
14,1,com.hbcd.testscript.s5a.PDP.Scen16,Validating RichRelevance,
15,1,com.hbcd.testscript.s5a.PDP.Scen17,Smoke test PDP: UPC Sold Out in PDP Page,
16,1,com.hbcd.testscript.s5a.PDP.Scen18,Smoke Test PDP: Item Available in PDP Page,
17,1,com.hbcd.testscript.s5a.PDP.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
18,0,com.hbcd.testscript.s5a.PDP.Scen20,Smoke Test PDP: Email Marketing Options WaitlistAble ,
19,0,com.hbcd.testscript.s5a.PDP.Scen21,Smoke Test PDP: Email Marketing option thru Waitlist Enter Mail Validation,
20,1,com.hbcd.testscript.s5a.PDP.Scen22,SmokeTest: Select Size and Color in AEM PDP,
21,1,com.hbcd.testscript.s5a.PDP.Scen23,SmokeTest: Find in Store Link in PDP and Validations,
22,1,com.hbcd.testscript.s5a.PDP.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP,
23,1,com.hbcd.testscript.s5a.PDP.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP,
24,1,com.hbcd.testscript.s5a.PDP.Scen26,SmokeTest: Validate Social Sharing Links Available on PDP Page,
25,0,com.hbcd.testscript.s5a.PDP.Scen27,SmokeTest: Validate Display on Foreign Currency on PDP,
26,1,com.hbcd.testscript.s5a.PDP.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page",
27,1,com.hbcd.testscript.s5a.PDP.Scen29,SmokeTest: validate Regular and Strike Off price for Recently Viewed items,
28,0,com.hbcd.testscript.s5a.PDP.Scen30,SmokeTest: Validate MORE Promotions on Footer of PDP,
29,0,com.hbcd.testscript.s5a.PDP.Scen31,SmokeTest: Validate number of items Added into the Bag Overlay ,
30,1,com.hbcd.testscript.s5a.PDP.Scen32,Chanel: Chanel banner. no shipping tab. no sharing icons. richrel. reviews. Q&A ,
31,1,com.hbcd.testscript.s5a.PDP.Scen33,Clickable Brand: brand item with DLP redirects to DLP,
32,1,com.hbcd.testscript.s5a.PDP.Scen34,Clickable Brand: brand item without DLP redirects to shop all,
33,1,com.hbcd.testscript.s5a.PDP.Scen35,TurnTo: teaser for Q&A,
34,1,com.hbcd.testscript.s5a.PDP.Scen36,TurnTo: teaser for Reviews,
35,1,com.hbcd.testscript.s5a.PDP.Scen37,PreOrder: displaying preorder label and message,
36,1,com.hbcd.testscript.s5a.PDP.Scen38,SoldOut & NON-Waitlistable: Sold out message is displayed and add to bag isn't,
37,1,com.hbcd.testscript.s5a.PDP.Scen39,International Item: Shipping restriction,
38,1,com.hbcd.testscript.s5a.PDP.Scen40,International Item: Currency changed,
39,1,com.hbcd.testscript.s5a.PDP.Scen41,Gift Card: Denominations displayed,
40,1,com.hbcd.testscript.s5a.PDP.Scen42,FIS Same Day: showing content properly,
