ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.pdp.Scen17,Smoke test PDP: UPC Sold Out in PDP Page,
2,1,com.hbcd.testscript.commonplatform.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page,
3,1,com.hbcd.testscript.commonplatform.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
4,1,com.hbcd.testscript.commonplatform.pdp.Scen20,Smoke Test PDP: Email Marketing Options WaitlistAble ,
5,1,com.hbcd.testscript.commonplatform.pdp.Scen21,Smoke Test PDP: Email Marketing option thru Waitlist Enter Mail Validation,
6,1,com.hbcd.testscript.commonplatform.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP,
7,1,com.hbcd.testscript.commonplatform.pdp.Scen23,SmokeTest: Find in Store Link in PDP and Validations,
8,1,com.hbcd.testscript.commonplatform.pdp.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP,
9,1,com.hbcd.testscript.commonplatform.pdp.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP,
10,1,com.hbcd.testscript.commonplatform.pdp.Scen26,SmokeTest: Validate Social Sharing Links Available on PDP Page,
11,1,com.hbcd.testscript.commonplatform.pdp.Scen27,SmokeTest: Validate Display on Foreign Currency on PDP,
12,1,com.hbcd.testscript.commonplatform.pdp.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page",
13,1,com.hbcd.testscript.commonplatform.pdp.Scen29,SmokeTest: validate Regular and Strike Off price for Recently Viewed items,
14,1,com.hbcd.testscript.commonplatform.pdp.Scen30,SmokeTest: Validate MORE Promotions on Footer of PDP,
17,1,com.hbcd.testscript.commonplatform.pdp.Scen31,SmokeTest: Validate number of items Added into the Bag Overlay ,
18,1,com.hbcd.testscript.commonplatform.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page,
19,1,com.hbcd.testscript.commonplatform.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP,
20,1,com.hbcd.testscript.commonplatform.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
