ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.s5a.productarray.Scen01,Back to Result Link:,
2,1,com.hbcd.testscript.s5a.productarray.Scen02,Search by Keyword : ,
3,1,com.hbcd.testscript.s5a.productarray.Scen03,Brand Dropdown on Brand Array,
5,1,com.hbcd.testscript.s5a.productarray.Scen05,Cartridges Product Array: ,
9,1,com.hbcd.testscript.s5a.productarray.Scen09,Contemporary Landing Page_2: ,
10,1,com.hbcd.testscript.s5a.productarray.Scen10,Lifestyle LHN: ,
11,1,com.hbcd.testscript.s5a.productarray.Scen11,Lifestyle in Product Array: ,
12,1,com.hbcd.testscript.s5a.productarray.Scen12,Sort Premier Designer: ,
15,1,com.hbcd.testscript.s5a.productarray.Scen15,Product Array_Item Info,
20,1,com.hbcd.testscript.s5a.productarray.Scen20,Product Array_Customer Reviews,
25,1,com.hbcd.testscript.s5a.productarray.Scen24,Refine by Price:fix brand,
27,1,com.hbcd.testscript.s5a.productarray.Scen27,Search from Root Level :,
30,1,com.hbcd.testscript.s5a.productarray.Scen30,Category Search : ,
33,1,com.hbcd.testscript.s5a.productarray.Scen33,Drill Down to Shoes: ,
34,1,com.hbcd.testscript.s5a.productarray.Scen34,Refine by Size in S&H :,
41,1,com.hbcd.testscript.s5a.productarray.Scen41,Sort By + Reset: ,
42,1,com.hbcd.testscript.s5a.productarray.Scen42,By Designers :,
47,1,com.hbcd.testscript.s5a.productarray.Scen47,Scenario_Validate_Gucci,
50,1,com.hbcd.testscript.s5a.productarray.Scen50,Scenario1_ValidateRedirect_Landing Page_SaksCard,
51,1,com.hbcd.testscript.s5a.productarray.Scen51,Scenario2_ValidateRedirect_Landing Page_SaksCard,
