ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.lt.productarray.Scen01,Back to Result Link:,
2,1,com.hbcd.testscript.lt.productarray.Scen02,Search by Keyword : ,
3,1,com.hbcd.testscript.lt.productarray.Scen03,Brand Dropdown on Brand Array,
4,1,com.hbcd.testscript.lt.productarray.Scen04,Cartridge Links (Dynamic and Static): ,
5,1,com.hbcd.testscript.lt.productarray.Scen05,Cartridges Product Array: ,
6,1,com.hbcd.testscript.lt.productarray.Scen06,Cartridges Search Page,
7,1,com.hbcd.testscript.lt.productarray.Scen07,Clickable Banner Cartridge_2,
8,1,com.hbcd.testscript.lt.productarray.Scen08,Contemporary Landing Page: ,
9,1,com.hbcd.testscript.lt.productarray.Scen09,Contemporary Landing Page_2: ,
10,1,com.hbcd.testscript.lt.productarray.Scen10,Lifestyle LHN: ,
11,1,com.hbcd.testscript.lt.productarray.Scen11,Lifestyle in Product Array: ,
12,1,com.hbcd.testscript.lt.productarray.Scen12,Sort Premier Designer: ,
15,1,com.hbcd.testscript.lt.productarray.Scen15,Product Array_Item Info,
16,1,com.hbcd.testscript.lt.productarray.Scen16,Product Array_Item Info1,
18,1,com.hbcd.testscript.lt.productarray.Scen18,Product Array_Pre Order Item : ,
20,1,com.hbcd.testscript.lt.productarray.Scen20,Product Array_Customer Reviews,
53,1,com.hbcd.testscript.lt.productarray.Scen53,Refine By Color:,
54,1,com.hbcd.testscript.lt.productarray.Scen54,Refine By Size:,
55,1,com.hbcd.testscript.lt.productarray.Scen55,Refine by Designer:,
25,1,com.hbcd.testscript.lt.productarray.Scen25,Refine by Price:,
26,1,com.hbcd.testscript.lt.productarray.Scen26,Refine by Size_2 :,
27,1,com.hbcd.testscript.lt.productarray.Scen27,Search from Root Level :With Seema,
28,1,com.hbcd.testscript.lt.productarray.Scen28,Search by Brand,
29,1,com.hbcd.testscript.lt.productarray.Scen29,Search by Keyword_2,
30,1,com.hbcd.testscript.lt.productarray.Scen30,Category Search : With Seema,
31,1,com.hbcd.testscript.lt.productarray.Scen31,Gift Cards: script incomplete,
32,1,com.hbcd.testscript.lt.productarray.Scen32,Shop by Category Brand Array: ,
33,1,com.hbcd.testscript.lt.productarray.Scen33,Drill Down to Shoes: ,
34,1,com.hbcd.testscript.lt.productarray.Scen34,Refine by Size in S&H :,
35,1,com.hbcd.testscript.lt.productarray.Scen35,Reset refinements: ,
36,1,com.hbcd.testscript.lt.productarray.Scen36,Shop All Link:,
38,1,com.hbcd.testscript.lt.productarray.Scen38,Sort Low to High: ,
40,1,com.hbcd.testscript.lt.productarray.Scen40,Sale: ,
41,1,com.hbcd.testscript.lt.productarray.Scen41,Sort By + Reset: ,
42,1,com.hbcd.testscript.lt.productarray.Scen42,By Designers :,
43,1,com.hbcd.testscript.lt.productarray.Scen43,Sale Show First: ,
44,1,com.hbcd.testscript.lt.productarray.Scen44,Scenario_ValidateDLP_Akris,
45,1,com.hbcd.testscript.lt.productarray.Scen45,Scenario_ValidateDLP_Bobbi Brown,
46,1,com.hbcd.testscript.lt.productarray.Scen46,Scenario_ValidateDLP_Burberry,
47,1,com.hbcd.testscript.lt.productarray.Scen47,Scenario_Validate_Gucci,
48,1,com.hbcd.testscript.lt.productarray.Scen48,Scenario_Validate_Prada,
49,1,com.hbcd.testscript.lt.productarray.Scen49,Scenario1_ValidateRedirect_Landing Page_BridalBoutique,
50,1,com.hbcd.testscript.lt.productarray.Scen50,Scenario1_ValidateRedirect_Landing Page_SaksCard,
51,1,com.hbcd.testscript.lt.productarray.Scen51,Scenario2_ValidateRedirect_Landing Page_SaksCard,
52,1,com.hbcd.testscript.lt.productarray.Scen52,ProductArray_Exclusively at Saks ,
53,1,com.hbcd.testscript.lt.productarray.Scen56,Validate Store Location Page ,
