ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.pdp.Scen01,Validate PDP Page,
2,1,com.hbcd.testscript.commonplatform.pdp.Scen02,Validate Tell a friend,
3,1,com.hbcd.testscript.commonplatform.pdp.Scen03,Validate PDP MiniBag,
4,1,com.hbcd.testscript.commonplatform.pdp.Scen04,Qty Increment,
5,1,com.hbcd.testscript.commonplatform.pdp.Scen05,Recently viewed items present,
6,1,com.hbcd.testscript.commonplatform.pdp.Scen06,Validate CSR Message,
7,1,com.hbcd.testscript.commonplatform.pdp.Scen07,Validate Final Sale Message,
8,1,com.hbcd.testscript.commonplatform.pdp.Scen09,Validating high demand message and overlay error,
9,1,com.hbcd.testscript.commonplatform.pdp.Scen10,Validating Share Links,
10,1,com.hbcd.testscript.commonplatform.pdp.Scen11,Adding dropship item,
11,1,com.hbcd.testscript.commonplatform.pdp.Scen12,Shipping accordion,
12,1,com.hbcd.testscript.commonplatform.pdp.Scen13,Validating Single Price,
13,1,com.hbcd.testscript.commonplatform.pdp.Scen14,Validating Multiple Prices,
14,1,com.hbcd.testscript.commonplatform.pdp.Scen16,Validating RichRelevance,
15,1,com.hbcd.testscript.commonplatform.pdp.Scen17,Smoke test PDP: UPC Sold Out in PDP Page,
16,1,com.hbcd.testscript.commonplatform.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page,
17,1,com.hbcd.testscript.commonplatform.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
18,1,com.hbcd.testscript.commonplatform.pdp.Scen20,Smoke Test PDP: Email Marketing Options WaitlistAble ,
19,1,com.hbcd.testscript.commonplatform.pdp.Scen21,Smoke Test PDP: Email Marketing option thru Waitlist Enter Mail Validation,
20,1,com.hbcd.testscript.commonplatform.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP,
21,1,com.hbcd.testscript.commonplatform.pdp.Scen23,SmokeTest: Find in Store Link in PDP and Validations,
22,1,com.hbcd.testscript.commonplatform.pdp.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP,
23,1,com.hbcd.testscript.commonplatform.pdp.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP,
24,1,com.hbcd.testscript.commonplatform.pdp.Scen26,SmokeTest: Validate Social Sharing Links Available on PDP Page,
25,1,com.hbcd.testscript.commonplatform.pdp.Scen27,SmokeTest: Validate Display on Foreign Currency on PDP,
26,1,com.hbcd.testscript.commonplatform.pdp.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page",
27,1,com.hbcd.testscript.commonplatform.pdp.Scen29,SmokeTest: validate Regular and Strike Off price for Recently Viewed items,
28,1,com.hbcd.testscript.commonplatform.pdp.Scen30,SmokeTest: Validate MORE Promotions on Footer of PDP,
29,1,com.hbcd.testscript.commonplatform.pdp.Scen31,SmokeTest: Validate number of items Added into the Bag Overlay ,
