ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.off5th.pdp.Scen01,Validate PDP Page,
2,1,com.hbcd.testscript.off5th.pdp.Scen02,Validate Tell a friend,
3,0,com.hbcd.testscript.off5th.pdp.Scen03,Validate PDP MiniBag,
8,1,com.hbcd.testscript.off5th.pdp.Scen09,Validating high demand message and overlay error,
9,1,com.hbcd.testscript.off5th.pdp.Scen10,Validating Share Links,
11,1,com.hbcd.testscript.off5th.pdp.Scen12,Shipping accordion,
12,1,com.hbcd.testscript.off5th.pdp.Scen13,Validating Single Price,
13,1,com.hbcd.testscript.off5th.pdp.Scen14,Validating Multiple Prices,
14,1,com.hbcd.testscript.off5th.pdp.Scen16,Validating RichRelevance,
15,1,com.hbcd.testscript.off5th.pdp.Scen17,Smoke test PDP: UPC Sold Out in PDP Page,
16,1,com.hbcd.testscript.off5th.pdp.Scen18,Smoke Test PDP: Item Available in PDP Page,
17,1,com.hbcd.testscript.off5th.pdp.Scen19,Smoke Test PDP: DropDown is Available for Items with SKU Size More than 15,
20,1,com.hbcd.testscript.off5th.pdp.Scen22,SmokeTest: Select Size and Color in AEM PDP,
22,1,com.hbcd.testscript.off5th.pdp.Scen24,SmokeTest: Size Guid and Fit Predictor Available in the PDP,
23,1,com.hbcd.testscript.off5th.pdp.Scen25,SmokeTest: Validate Price Range and Promo Price and Strike Through Price in PDP,
24,1,com.hbcd.testscript.off5th.pdp.Scen26,SmokeTest: Validate Social Sharing Links Available on PDP Page,
26,1,com.hbcd.testscript.off5th.pdp.Scen28,"SmokeTest: Validate Original Item Price, Strike Off and Discount with Percent Displayed on PDP Page",
27,1,com.hbcd.testscript.off5th.pdp.Scen29,SmokeTest: validate Regular and Strike Off price for Recently Viewed items,
32,1,com.hbcd.testscript.off5th.pdp.Scen34,Clickable Brand: brand item without DLP redirects to shop all,
35,1,com.hbcd.testscript.off5th.pdp.Scen37,PreOrder: displaying preorder label and message,
36,1,com.hbcd.testscript.off5th.pdp.Scen38,SoldOut & NON-Waitlistable: Sold out message is displayed and add to bag isn't,
37,1,com.hbcd.testscript.off5th.pdp.Scen39,International Item: Shipping restriction,
38,1,com.hbcd.testscript.off5th.pdp.Scen40,International Item: Currency changed,
39,1,com.hbcd.testscript.off5th.pdp.Scen41,Gift Card: Denominations displayed,
